Head,Relation,Tail,Text,Label
airways of covid-19 patients,increase,functional myeloid-derived suppressor cells,functional myeloid-derived suppressor cells expand in blood but not airways of covid-19 patients and predict disease severity,Cause-Effect
functional myeloid-derived suppressor cells,predicts,disease severity,functional myeloid-derived suppressor cells expand in blood but not airways of covid-19 patients and predict disease severity,Predicts
face masks,increase,expulsion of simulated cough-generated aerosols,"efficacy of face masks , neck gaiters and face shields for reducing the expulsion of simulated cough-generated aerosols",Cause-Effect
neck gaiters,increase,expulsion of simulated cough-generated aerosols,"efficacy of face masks , neck gaiters and face shields for reducing the expulsion of simulated cough-generated aerosols",Cause-Effect
face shields,increase,expulsion of simulated cough-generated aerosols,"efficacy of face masks , neck gaiters and face shields for reducing the expulsion of simulated cough-generated aerosols",Cause-Effect
treatment with colchicine,association,improved survival,association between treatment with colchicine and improved survival in a single-centre cohort of adult hospitalised patients with covid-19 pneumonia and acute respiratory distress syndrome,Association
johnson & johnson,announces,initiation of rolling submission for its single-dose janssen covid-19 vaccine candidate with the european medicines agency,johnson & johnson announces initiation of rolling submission for its single-dose janssen covid-19 vaccine candidate with the european medicines agency,Discovery-Validation
mutated coronavirus,shows,significant boost in infectivity,mutated coronavirus shows significant boost in infectivity,Discovery-Validation
decreased serum levels of inflammaging marker mir-146a,association,clinical response to tocilizumab in covid-19 patients,decreased serum levels of inflammaging marker mir-146a are associated with clinical response to tocilizumab in covid-19 patients,Association
ohio researchers,identifies,two new covid strains,ohio researchers say they 've identified two new covid strains likely originating in the u.s .,Discovery-Validation
progesterone-based therapy,protects,influenza,progesterone-based therapy protects against influenza by promoting lung repair and recovery in females,Treatment
neurologic and radiographic findings,association,covid-19 infection in children,neurologic and radiographic findings associated with covid-19 infection in children,Association
early mortality rates for coronavirus,isa,likely misleading,"early mortality rates for coronavirus are likely misleading , experts say",Others
experts,announces,early mortality rates for coronavirus are likely misleading,"early mortality rates for coronavirus are likely misleading , experts say",Discovery-Validation
trump,prevents,travel from europe to us,trump halts travel from europe to us,Cause-Effect
sars-cov-2 epidemic after social and economic reopening in three us states,announces,shifts in age structure and clinical characteristics,sars-cov-2 epidemic after social and economic reopening in three us states reveals shifts in age structure and clinical characteristics,Discovery-Validation
sars-cov-2 vaccine candidate,affects,all currently circulating variants,a sars-cov-2 vaccine candidate would likely match all currently circulating variants,Cause-Effect
sars-cov-2,infects,immune cells,sars-cov-2 can infect immune cells,Transmit-Infect
novel coronavirus,transmits,pangolins,novel coronavirus thought to have jumped to humans via pangolins,Transmit-Infect
google,announces,regional aggregate location behavior data,google releases regional aggregate location behavior data,Discovery-Validation
researchers,develops,decoy molecule to fool covid-19,researchers working on decoy molecule to fool covid-19,Research-Test
amilorides,prevents,sars-cov-2 replication in vitro,amilorides inhibit sars-cov-2 replication in vitro by targeting rna structures,Cause-Effect
coronavirus prevalence,isa,high,"coronavirus prevalence remains high but some evidence of slowdown , react shows",Others
covid-19 vaccine,protects,monkeys from new coronavirus,"covid-19 vaccine protects monkeys from new coronavirus , chinese biotech reports",Treatment
chinese biotech,announces,covid-19 vaccine protects monkeys,"covid-19 vaccine protects monkeys from new coronavirus , chinese biotech reports",Discovery-Validation
symptomatic sars-cov-2 infections,causes,polyfunctional antibodies,asymptomatic and symptomatic sars-cov-2 infections elicit polyfunctional antibodies .,Cause-Effect
city size,increase,covid-19 attack rate,covid-19 attack rate increases with city size,Cause-Effect
plasma treatment,treats,covid-19,duhs scientists make breakthrough in plasma treatment of covid-19,Treatment
peaks of fine particulate matter,affects,spreading and virulence of covid-19,peaks of fine particulate matter may modulate the spreading and virulence of covid-19,Cause-Effect
treatment with ace-inhibitors,association,early severe sars-covid-19 infection,treatment with ace-inhibitors is not associated with early severe sars-covid-19 infection in a multi-site uk acute hospital trust,Association
cruise association,protects,passengers,cruise association hits back with measures to protect passengers from coronavirus,Treatment
elevated biomarker,related_to,blood vessel damage,chop researchers find elevated biomarker related to blood vessel damage in all children with sars-cov-2 regardless of disease severity.,Association
composite nasal spray,improves,prophylaxis of sars-cov-2,formulation of a composite nasal spray enabling enhanced surface coverage and prophylaxis of sars-cov-2.,Cause-Effect
full-dose blood thinners,increase,need for life support,full-dose blood thinners decreased need for life support and improved outcomes in hospitalized covid-19 patients in international trial.,Cause-Effect
full-dose blood thinners,improves,outcomes in hospitalized covid-19 patients,full-dose blood thinners decreased need for life support and improved outcomes in hospitalized covid-19 patients in international trial.,Cause-Effect
convalescent plasma,affects,covid-19,convalescent plasma is ineffective for covid-19,Cause-Effect
modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,affects,sterilizing immunity against sars-cov-2 infection in mice,sterilizing immunity against sars-cov-2 infection in mice by a single-shot and modified imidazoquinoline tlr7/8 agonist-adjuvanted recombinant spike protein vaccine,Cause-Effect
imhe,predicts,"81,114 deaths in united states","imhe estimates 81,114 deaths in united states over next four months",Predicts
kidney injury molecule-1,related_to,sars-cov-2,kidney injury molecule-1 is a potential receptor for sars-cov-2,Association
angiotensin-converting enzyme 2 of different species,causes,cell entry of sars-cov-2,cell entry of sars-cov-2 conferred by angiotensin-converting enzyme 2 of different species,Cause-Effect
a familial cluster of infection,association,2019 novel coronavirus,a familial cluster of infection associated with the 2019 novel coronavirus indicating potential person-to-person transmission during the incubation period,Association
a familial cluster of infection,shows,potential person-to-person transmission,a familial cluster of infection associated with the 2019 novel coronavirus indicating potential person-to-person transmission during the incubation period,Discovery-Validation
researchers in hong kong,shows,reinfection may be possible,work by researchers in hong kong finds that reinfection may be possible in rare cases.,Discovery-Validation
peptide vaccine candidate,causes,broad t cell responses,peptide vaccine candidate mimics the heterogeneity of natural sars-cov-2 immunity in convalescent humans and induces broad t cell responses in mice models,Cause-Effect
cdc,announces,patient who tested positive for covid-19 san antonio,"cdc released patient who tested positive for covid-19 san antonio , tx",Discovery-Validation
oxford coronavirus vaccine,causes,immune response,oxford coronavirus vaccine triggers immune response,Cause-Effect
neuropilin-1,provides,possible pathway into the central nervous system,neuropilin-1 facilitates sars-cov-2 cell entry and provides a possible pathway into the central nervous system,Provision-Support
plasma treatments,affects,coronavirus on surfaces,plasma treatments quickly kill coronavirus on surfaces,Cause-Effect
ivermectin,isa,broad spectrum antiviral,the broad spectrum antiviral ivermectin targets the host nuclear transport importin î±/î²1 heterodimer,Others
sars-cov-2,related_to,platelet ace2,sars-cov-2 binds platelet ace2 to enhance thrombosis in covid-19,Association
sars-cov-2,increase,thrombosis,sars-cov-2 binds platelet ace2 to enhance thrombosis in covid-19,Cause-Effect
ibm,announces,novel ai-powered technologies,ibm releases novel ai-powered technologies to help health and research community accelerate the discovery of medical insights and treatments for covid-19,Discovery-Validation
fujifilm,tests,favipiravir,fujifilm tests favipiravir as covid-19 treatment,Research-Test
favipiravir,treats,covid-19,fujifilm tests favipiravir as covid-19 treatment,Treatment
covid-19,causes,immune system amnesia,covid-19 could be causing immune system amnesia,Cause-Effect
interferon deficiency,causes,severe covid,interferon deficiency can lead to severe covid,Cause-Effect
protease inhibitor,prevents,coronavirus cell entry,clinically proven protease inhibitor blocks coronavirus cell entry,Cause-Effect
protease inhibitor,isa,clinically proven,clinically proven protease inhibitor blocks coronavirus cell entry,Others
thymosin alpha 1,increase,mortality of severe covid-19,thymosin alpha 1 reduces the mortality of severe covid-19 by restoration of lymphocytopenia and reversion of exhausted t cells,Cause-Effect
ceo,announces,astra likely to run additional global vaccine test,"astra likely to run additional global vaccine test , ceo says",Discovery-Validation
uk regulator,approves,moderna vaccine,moderna vaccine becomes third covid-19 vaccine approved by uk regulator.,Regulation
coronavirus vaccines,affects,the elderly,coronavirus vaccines may not work for the elderly,Cause-Effect
fda,approves,portable covid-19 test kit,fda gives the green light to portable covid-19 test kit,Regulation
prefusion sars-cov-2 spike rna vaccine,isa,highly immunogenic,a prefusion sars-cov-2 spike rna vaccine is highly immunogenic and prevents lung infection in non-human primates,Others
prefusion sars-cov-2 spike rna vaccine,prevents,lung infection in non-human primates,a prefusion sars-cov-2 spike rna vaccine is highly immunogenic and prevents lung infection in non-human primates,Cause-Effect
mandate tuberculosis vaccine,affects,coronavirus deaths,fewer coronavirus deaths seen in countries that mandate tuberculosis vaccine,Cause-Effect
sars-cov-2,causes,severe alveolar inflammation,sars-cov-2 causes severe alveolar inflammation and barrier dysfunction,Cause-Effect
sars-cov-2,causes,barrier dysfunction,sars-cov-2 causes severe alveolar inflammation and barrier dysfunction,Cause-Effect
colchicine,increase,lung injury in experimental acute respiratory distress syndrome,colchicine reduces lung injury in experimental acute respiratory distress syndrome,Cause-Effect
uae,approves,use of covid19 vaccine,uae approves use of covid19 vaccine .,Regulation
bacteriophage,increase,mortality,bacteriophage could decrease mortality,Cause-Effect
radical transparency,helps,the return to the office,the return to the office will only succeed through radical transparency,Provision-Support
china,announces,smallest number of new covid-19 cases since january,"china reports smallest number of new covid-19 cases since january , but that doesnt mean virus is peaking.",Discovery-Validation
covid-19,isa,peaking,"china reports smallest number of new covid-19 cases since january , but that doesnt mean virus is peaking.",Others
dexamethasone,regulates,immunity,"after 62 years of regulating immunity, dexamethasone meets covid-19",Regulation
dexamethasone,affects,covid-19,"after 62 years of regulating immunity, dexamethasone meets covid-19",Cause-Effect
first confirmed case of coronavirus reinfection,isa,man in hong kong,a man in hong kong is the first confirmed case of coronavirus reinfection,Others
new coronavirus test,isa,10 times faster,new coronavirus test 10 times faster is fda approved,Others
fda,approves,new coronavirus test,new coronavirus test 10 times faster is fda approved,Regulation
coronavirus superspreading,isa,fat-tailed,evidence that coronavirus superspreading is fat-tailed,Others
evidence,supports,coronavirus superspreading is fat-tailed,evidence that coronavirus superspreading is fat-tailed,Provision-Support
clinical risk score,predicts,occurrence of critical illness in hospitalized patients with covid-19,development and validation of a clinical risk score to predict the occurrence of critical illness in hospitalized patients with covid-19,Predicts
sars-cov-2 infection,affects,airway motile cilia,sars-cov-2 infection damages airway motile cilia and impairs mucociliary clearance.,Cause-Effect
sars-cov-2 infection,affects,mucociliary clearance,sars-cov-2 infection damages airway motile cilia and impairs mucociliary clearance.,Cause-Effect
northerly latitude after adjustment for age suggesting,increase,covid-19 mortality,covid-19 mortality increases with northerly latitude after adjustment for age suggesting a link with ultraviolet and vitamin d,Cause-Effect
ultraviolet and vitamin d,affects,covid-19 mortality,covid-19 mortality increases with northerly latitude after adjustment for age suggesting a link with ultraviolet and vitamin d,Cause-Effect
uci,develops,"low-cost, accurate covid-19 antibody detection platform","uci develops low-cost, accurate covid-19 antibody detection platform",Research-Test
dexamethasone,regulates,immunity,"after 62 years of regulating immunity , dexamethasone meets covid-19",Regulation
hydroxychloroquine,prevents,covid-19,randomized trial finds hydroxychloroquine did not prevent covid-19,Cause-Effect
massachusetts general hospital covid-19 registry,announces,two distinct populations of hospitalized patients by race and ethnicity,massachusetts general hospital covid-19 registry reveals two distinct populations of hospitalized patients by race and ethnicity,Discovery-Validation
uncharacterized gene in sars-cov-2,shows,functional dynamics and evolutionary origins of the covid-19 pandemic,a previously uncharacterized gene in sars-cov-2 illuminates the functional dynamics and evolutionary origins of the covid-19 pandemic,Discovery-Validation
sauna use,increase,pneumonia risk,sauna use reduces pneumonia risk,Cause-Effect
coronavirus case counts,isa,meaningless,coronavirus case counts are meaningless*,Others
enisamium,prevents,sars-cov-2 rna polymerase,enisamium is an inhibitor of the sars-cov-2 rna polymerase and shows improvement of recovery in covid-19 patients in an interim analysis of a clinical trial.,Cause-Effect
enisamium,improves,recovery in covid-19 patients,enisamium is an inhibitor of the sars-cov-2 rna polymerase and shows improvement of recovery in covid-19 patients in an interim analysis of a clinical trial.,Cause-Effect
researchers,studies,aerosolized hydroxychloroquine,"in 2004 , researchers began human trials for aerosolized hydroxychloroquine to be taken using an inhaler .",Research-Test
pulmonary pathology of early covid-19 pneumonia,identifies,two patients with lung cancer,pulmonary pathology of early covid-19 pneumonia identified retrospectively in two patients with lung cancer,Discovery-Validation
covid-19 mortality,related_to,ultraviolet and vitamin d,covid-19 mortality increases with northerly latitude after adjustment for age suggesting a link with ultraviolet and vitamin d,Association
vitamin d,shows,severity in covid-19,"vitamin d determines severity in covid-19 so government advice needs to change , experts urge",Discovery-Validation
differential immune responses,related_to,covid-19,the differential immune responses to covid-19 in peripheral and lung revealed by single-cell rna sequencing,Association
single-cell rna sequencing,shows,differential immune responses,the differential immune responses to covid-19 in peripheral and lung revealed by single-cell rna sequencing,Discovery-Validation
florida sheriff,prevents,his deputies and office visitors from wearing masks,florida sheriff bans his deputies and office visitors from wearing masks on a day his county broke records for covid-19 deaths,Cause-Effect
vitamin k2 deficiency,affects,covid-19 mortality,vitamin k2 deficiency link to covid-19 mortality explained in new paper,Cause-Effect
new paper,announces,vitamin k2 deficiency link to covid-19 mortality,vitamin k2 deficiency link to covid-19 mortality explained in new paper,Discovery-Validation
chemists,develops,structure of a key coronavirus protein,chemists discover the structure of a key coronavirus protein,Research-Test
immense inflammation,causes,cardiac blood vessel dilation,post-covid syndrome severely damages children's hearts; immense inflammation causing cardiac blood vessel dilation,Cause-Effect
proteomics,develops,immunosuppression in covid-19 patients with long disease course,proteomics uncovers immunosuppression in covid-19 patients with long disease course,Research-Test
covid-19 lung injury,isa,high altitude pulmonary edema,covid-19 lung injury is not high altitude pulmonary edema,Others
danish researchers' inhalation treatment,treats,animals,danish researchers' inhalation treatment of covid-19 passes tests in animals,Treatment
speech by asymptomatic individuals,transmits,infection,speech by asymptomatic individuals may produce enough aerosolized particles to transmit infection,Transmit-Infect
researchers,shows,children are silent spreaders of virus,researchers show children are silent spreaders of virus that causes covid-19,Discovery-Validation
virus,causes,covid-19,researchers show children are silent spreaders of virus that causes covid-19,Cause-Effect
staying home,helps,saving lives,"keep staying home, you are saving lives inder singh, kinsa",Provision-Support
older adults with existing depression,shows,resilience during the pandemic,older adults with existing depression show resilience during the pandemic,Discovery-Validation
nobel laureate,predicts,a quicker coronavirus recovery,nobel laureate predicts a quicker coronavirus recovery,Predicts
commonly used steroid,increase,risk of death,"commonly used steroid reduces risk of death in sickest coronavirus patients, preliminary study results suggest",Cause-Effect
aerosol,transmits,covid-19,survey suggests aerosol is significant form of covid-19 transmission,Transmit-Infect
elevation of plasma angiotensin ii level,treats,critically ill covid-19 patients,elevation of plasma angiotensin ii level is a potential pathogenesis for the critically ill covid-19 patients,Treatment
israeli health ministry,approves,experimental treatments for coronavirus,israeli health ministry approves experimental treatments for coronavirus,Regulation
2019-ncov vaccine,prevents,sars-cov-2 infection,safety and immunogenicity study of 2019-ncov vaccine to prevent sars-cov-2 infection,Cause-Effect
fda,approves,expanded access to wilmington company's experimental covid-19 therapy,fda approves expanded access to wilmington company's experimental covid-19 therapy,Regulation
blood tests,shows,14% of people are now immune to covid-19 in one town in germany,blood tests show 14% of people are now immune to covid-19 in one town in germany,Discovery-Validation
immune system,shows,abnormal response to covid-19,immune system shows abnormal response to covid-19,Discovery-Validation
a discrete-time-evolution model,predicts,progress of covid-19 outbreak,a discrete-time-evolution model to forecast progress of covid-19 outbreak,Predicts
a cross-reactive human iga monoclonal antibody,prevents,sars-cov-2 spike-ace2 interaction,a cross-reactive human iga monoclonal antibody blocks sars-cov-2 spike-ace2 interaction,Cause-Effect
humanized covid-19 decoy antibody,prevents,viral entry,humanized covid-19 decoy antibody effectively blocks viral entry and prevents sars-cov-2 infection,Cause-Effect
humanized covid-19 decoy antibody,prevents,sars-cov-2 infection,humanized covid-19 decoy antibody effectively blocks viral entry and prevents sars-cov-2 infection,Cause-Effect
human mast cells,increase,interleukin-6 production,human mast cells enhance interleukin-6 production by quiescent and lipopolysaccharide-stimulated human coronary artery endothelial cells,Cause-Effect
tests,shows,coronavirus can survive in the air,tests indicate coronavirus can survive in the air,Discovery-Validation
vaccination,improves,herd immunity,vaccination is the only acceptable path to herd immunity.,Cause-Effect
the ground level ozone concentration,correlation,the number of covid-19 cases in warsaw,"the ground level ozone concentration is inversely correlated with the number of covid-19 cases in warsaw, poland",Association
identification of unique mutations in sars-cov-2 strains isolated from india,shows,attenuated pathotype,identification of unique mutations in sars-cov-2 strains isolated from india suggests its attenuated pathotype,Discovery-Validation
government bureau,tests,covid antibody obtainment system,government bureau to examine covid antibody obtainment system as suggestions finished,Research-Test
pooling samples,improves,corona test efficiency,pooling samples could boost corona test efficiency,Cause-Effect
uc study,shows,clues to covid-19 in the brain,uc study uncovers clues to covid-19 in the brain,Discovery-Validation
higher viral loads,association,severe clinical outcomes,"the sars-cov-2 mean viral load of severe cases was around 60 times higher than that of mild cases, suggesting that higher viral loads might be associated with severe clinical outcomes.",Association
journalists,develops,origins of the coronavirus,china is guarding ancient bat caves against journalists and scientists seeking to discover the origins of the coronavirus.,Research-Test
scientists,develops,origins of the coronavirus,china is guarding ancient bat caves against journalists and scientists seeking to discover the origins of the coronavirus.,Research-Test
"population-wide, rapid antigen test based screening",increase,sars-cov-2 infection prevalence in slovakia,"the effectiveness of population-wide, rapid antigen test based screening in reducing sars-cov-2 infection prevalence in slovakia",Cause-Effect
natural selection in the evolution of sars-cov-2 in bats,develops,highly capable human pathogen,"natural selection in the evolution of sars-cov-2 in bats, not humans, created a highly capable human pathogen",Research-Test
heat-killed lactobacillus casei,causes,broad protection against influenza a virus primary infection,heat-killed lactobacillus casei confers broad protection against influenza a virus primary infection and develops heterosubtypic immunity against future secondary infection,Cause-Effect
heat-killed lactobacillus casei,develops,heterosubtypic immunity against future secondary infection,heat-killed lactobacillus casei confers broad protection against influenza a virus primary infection and develops heterosubtypic immunity against future secondary infection,Research-Test
study,shows,fox news viewers use fewer covid-19 safety precautions than cnn viewers,"fox news viewers use fewer covid-19 safety precautions than cnn viewers, study finds",Discovery-Validation
immunological memory,related_to,sars-cov-2,immunological memory to sars-cov-2 assessed for greater than six months after infection,Association
immunological memory,assesses,six months after infection,immunological memory to sars-cov-2 assessed for greater than six months after infection,Research-Test
double eights mask brace,improves,fit and protection of a basic surgical mask,the double eights mask brace improves the fit and protection of a basic surgical mask amidst covid-19 pandemic.,Cause-Effect
double eights mask brace,related_to,covid-19 pandemic,the double eights mask brace improves the fit and protection of a basic surgical mask amidst covid-19 pandemic.,Association
pandemic,increase,stillbirth rate,stillbirth rate rises dramatically during pandemic,Cause-Effect
immunological characteristics,regulates,transition of covid-19 to endemicity,immunological characteristics govern the transition of covid-19 to endemicity.,Regulation
oxford vaccine,causes,immune response,oxford vaccine triggers immune response,Cause-Effect
high-throughput sars-cov-2 testing,related_to,efficient,efficient high-throughput sars-cov-2 testing to detect asymptomatic carriers,Association
sars-cov-2-specific t-cell immunity,related_to,robust,robust sars-cov-2-specific t-cell immunity is maintained at 6 months following primary infection,Association
cats and llamas,helps,coronavirus therapies,cats and llamas could offer a path to coronavirus therapies,Provision-Support
monulparivir,prevents,spread of coronavirus,"monulparivir , the drug that completely stops the spread of coronavirus in 24 hours",Cause-Effect
bcg-adjuvanted sars-cov-2 vaccine,causes,th1-polarized immunity,"a single dose , bcg-adjuvanted sars-cov-2 vaccine induces th1-polarized immunity and high-titre neutralizing antibodies in mice",Cause-Effect
bcg-adjuvanted sars-cov-2 vaccine,causes,high-titre neutralizing antibodies,"a single dose , bcg-adjuvanted sars-cov-2 vaccine induces th1-polarized immunity and high-titre neutralizing antibodies in mice",Cause-Effect
lilly,provides,comprehensive update on progress of sars-cov-2 neutralizing antibody programs,lilly provides comprehensive update on progress of sars-cov-2 neutralizing antibody programs,Provision-Support
ucsf research,shows,inhalable antiviral,ucsf research points to inhalable antiviral that could effectively combat covid,Discovery-Validation
inhalable antiviral,related_to,combat covid,ucsf research points to inhalable antiviral that could effectively combat covid,Association
structural biology,helps,drive coronavirus vaccine development,structural biology helps drive coronavirus vaccine development,Provision-Support
symptom monitoring and diagnostic testing,increase,quarantine for contacts of persons with sars-cov-2 infection,options to reduce quarantine for contacts of persons with sars-cov-2 infection using symptom monitoring and diagnostic testing,Cause-Effect
sars-cov-2 spike d614g variant,causes,enhanced replication and transmissibility,sars-cov-2 spike d614g variant confers enhanced replication and transmissibility,Cause-Effect
ag nanoparticles-based antimicrobial polycotton fabrics,prevents,transmission and spread of sars-cov-2,ag nanoparticles-based antimicrobial polycotton fabrics to prevent the transmission and spread of sars-cov-2,Cause-Effect
4c deterioration model,develops,adults hospitalised with covid-19,development and validation of the 4c deterioration model for adults hospitalised with covid-19,Research-Test
japanese flu drug,treats,coronavirus,"japanese flu drug could be effective in treating coronavirus , report says",Treatment
covid-19,isa,far more lethal than influenza,covid-19 is far more lethal than influenza,Others
new coronavirus tests,helps,end the pandemic,the explosion of new coronavirus tests that could help to end the pandemic,Provision-Support
miami-dade county and the university of miami miller school of medicine,announces,initial findings,second round of covid-19 community testing completed ; miami-dade county and the university of miami miller school of medicine announce initial findings,Discovery-Validation
neurorx and relief therapeutics,announces,enrollment of 150 patients in phase 2b/3 trial of rlf-100 for critical covid-19 with respiratory failure,neurorx and relief therapeutics announce enrollment of 150 patients in phase 2b/3 trial of rlf-100 for critical covid-19 with respiratory failure,Discovery-Validation
2020 october covid-19 boost date,correlation,latitude,"the unexpected spectacular 2020 october covid-19 boost date in european countries correlated with the latitude , but not with the temperature",Association
2020 october covid-19 boost date,correlation,temperature,"the unexpected spectacular 2020 october covid-19 boost date in european countries correlated with the latitude , but not with the temperature",Association
susceptible supply,increase,role of climate in the early sars-cov-2 pandemic,susceptible supply limits the role of climate in the early sars-cov-2 pandemic,Cause-Effect
single-dose intranasal administration of adcovid,causes,systemic and mucosal immunity against sars-cov-2 in mice,single-dose intranasal administration of adcovid elicits systemic and mucosal immunity against sars-cov-2 in mice,Cause-Effect
ontario,increase,covid-19 testing,ontario significantly expanding covid-19 testing enhanced testing strategy will help stop the spread of the virus,Cause-Effect
enhanced testing strategy,helps,stop the spread of the virus,ontario significantly expanding covid-19 testing enhanced testing strategy will help stop the spread of the virus,Provision-Support
covid-19 treatments,increase,hospital time by 10 days,nhs patients to receive life-saving covid-19 treatments that could cut hospital time by 10 days.,Cause-Effect
moderna,announces,initiation of rolling submission to health canada for mrna vaccine against covid-19,moderna announces initiation of rolling submission to health canada for mrna vaccine against covid-19,Discovery-Validation
baseline use of hydroxychloroquine in systemic lupus erythematosus,prevents,sars-cov-2 infection and severe covid-19,baseline use of hydroxychloroquine in systemic lupus erythematosus does not preclude sars-cov-2 infection and severe covid-19,Cause-Effect
ct scan,isa,viable alternative for coronavirus test,ct scan is a viable alternative for coronavirus test,Others
the ace2 expression in human heart,shows,new potential mechanism of heart injury among patients infected with sars-cov-2,the ace2 expression in human heart indicates new potential mechanism of heart injury among patients infected with sars-cov-2,Discovery-Validation
single-cell analyses,announces,sars-cov-2 interference with intrinsic immune response in the human gut,single-cell analyses reveal sars-cov-2 interference with intrinsic immune response in the human gut,Discovery-Validation
serology in children with multisystem inflammatory syndrome,association,covid-19,serology in children with multisystem inflammatory syndrome associated with covid-19,Association
mutations in host and pathogen,affects,the course of pandemic,mutations in host and pathogen may affect the course of pandemic.,Cause-Effect
low-density lipoprotein cholesterol levels,association,poor clinical outcomes in covid-19,low-density lipoprotein cholesterol levels are associated with poor clinical outcomes in covid-19,Association
a machine learning model,predicts,illness trajectory,development and validation of a machine learning model for predicting illness trajectory and hospital resource utilization of covid-19 hospitalized patients,Predicts
us,approves,moderna as second vaccine,us approves moderna as second vaccine.,Regulation
artemisinin,increase,hopes and fears amid covid-19,artemisinin raises hopes and fears amid covid-19,Cause-Effect
ketogenesis,prevents,aging-induced exacerbation of covid in a mouse model,ketogenesis restrains aging-induced exacerbation of covid in a mouse model,Cause-Effect
early high-titer plasma therapy,prevents,severe covid-19 in older adults,early high-titer plasma therapy to prevent severe covid-19 in older adults.,Cause-Effect
vitamin d supplementation,increase,influenza and covid-19 infections and deaths,evidence that vitamin d supplementation could reduce risk of influenza and covid-19 infections and deaths,Cause-Effect
remdesivir,affects,rhesus macaques infected with sars-cov-2,clinical benefit of remdesivir in rhesus macaques infected with sars-cov-2,Cause-Effect
vaccinate against covid-19,affects,"500,000 sharks","500,000 sharks may be killed to vaccinate against covid-19 , wildlife experts say",Cause-Effect
cdc,announces,new resources and tools to support opening schools,cdc releases new resources and tools to support opening schools,Discovery-Validation
coronavirus mutation,causes,more contagious,coronavirus mutation may have made it more contagious .,Cause-Effect
chloroquine phosphate,treats,covid-19 associated pneumonia in clinical studies,chloroquine phosphate has shown apparent efficacy in treatment of covid-19 associated pneumonia in clinical studies,Treatment
gut microbiota composition,shows,dysfunctional immune responses in patients with covid-19,gut microbiota composition reflects disease severity and dysfunctional immune responses in patients with covid-19.,Discovery-Validation
russia,announces,it produces drug to treat covid-19,russia claims it produces drug to treat covid-19.,Discovery-Validation
holder pasteurization,affects,sars-cov-2 in human milk,sars-cov-2 in human milk is inactivated by holder pasteurization but not cold storage,Cause-Effect
cold storage,affects,sars-cov-2 in human milk,sars-cov-2 in human milk is inactivated by holder pasteurization but not cold storage,Cause-Effect
chloroquine,prevents,sars coronavirus infection,chloroquine is a potent inhibitor of sars coronavirus infection and spread,Cause-Effect
disruption of the ccl5/rantes-ccr5 pathway,increase,immune homeostasis,disruption of the ccl5/rantes-ccr5 pathway restores immune homeostasis and reduces plasma viral load in critical covid-19,Cause-Effect
disruption of the ccl5/rantes-ccr5 pathway,increase,plasma viral load in critical covid-19,disruption of the ccl5/rantes-ccr5 pathway restores immune homeostasis and reduces plasma viral load in critical covid-19,Cause-Effect
sars-cov-2 viral load,association,increased disease severity and mortality,sars-cov-2 viral load is associated with increased disease severity and mortality,Association
repurposing of miglustat,prevents,the coronavirus severe acquired respiratory syndrome sars-cov-2,repurposing of miglustat to inhibit the coronavirus severe acquired respiratory syndrome sars-cov-2,Cause-Effect
high affinity nanobodies,prevents,sars-cov-2 spike receptor binding domain interaction with human angiotensin converting enzyme,high affinity nanobodies block sars-cov-2 spike receptor binding domain interaction with human angiotensin converting enzyme.,Cause-Effect
early immune pathology and persistent dysregulation,shows,severe covid-19,early immune pathology and persistent dysregulation characterise severe covid-19.,Discovery-Validation
novartis,helps,large clinical trial of hydroxychloroquine in hospitalized covid-19 patients,novartis to sponsor large clinical trial of hydroxychloroquine in hospitalized covid-19 patients,Provision-Support
plasma treatments,affects,coronavirus on surfaces,plasma treatments quickly kill coronavirus on surfaces .,Cause-Effect
rapid endothelialitis and vascular inflammation,shows,sars-cov-2 infection in a human lung-on-chip model,rapid endothelialitis and vascular inflammation characterise sars-cov-2 infection in a human lung-on-chip model,Discovery-Validation
antibody cocktail to sars-cov-2 spike protein,prevents,rapid mutational escape seen with individual antibodies,antibody cocktail to sars-cov-2 spike protein prevents rapid mutational escape seen with individual antibodies,Cause-Effect
severity of covid-19,correlation,increased number counts of non-synonymous mutations in tokyo,severity of covid-19 is inversely correlated with increased number counts of non-synonymous mutations in tokyo,Association
clinical and chest radiography features,shows,patient outcomes in young and middle age adults with covid-19,clinical and chest radiography features determine patient outcomes in young and middle age adults with covid-19,Discovery-Validation
genomes,shows,most new york coronavirus cases came from europe,"most new york coronavirus cases came from europe , genomes show",Discovery-Validation
thermal disinfection,affects,sars-cov-2 in n95 respirators,thermal disinfection inactivates sars-cov-2 in n95 respirators while maintaining their protective function,Cause-Effect
blood samples of 7 severely ill covid-19 patients,shows,leronlimab has reduced the cytokine storm in all patients,blood samples of 7 severely ill covid-19 patients indicate leronlimab has reduced the cytokine storm in all patients,Discovery-Validation
covid-19,causes,loss of smell,loss of smell in patients with covid-19 mri data reveal a transient edema of the olfactory clefts,Cause-Effect
mri data,shows,transient edema of the olfactory clefts,loss of smell in patients with covid-19 mri data reveal a transient edema of the olfactory clefts,Discovery-Validation
korean study,studies,covid-19,korean study of 132 000 people shows that current use of proton pump inhibitors may lead to 79 % greater risk of severe clinical outcomes of covid-19,Research-Test
